customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
768805383,Female,0,Yes,No,39,No,No phone service,DSL,No,Yes,No,No,No,No,3,Yes,Blue,29.85,29.85,Existing Customer
818770008,Male,0,No,No,44,Yes,No,DSL,Yes,No,Yes,No,No,No,2,No,Blue,56.95,1889.5,Existing Customer
713982108,Male,0,No,No,36,Yes,No,DSL,Yes,Yes,No,No,No,No,0,Yes,Blue,53.85,108.15,Existing Customer
769911858,Male,0,No,No,34,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,1,No,Blue,42.3,1840.75,Existing Customer
709106358,Female,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,No,0,Yes,Blue,70.7,151.65,Existing Customer
713061558,Female,0,No,No,36,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,2,Yes,Blue,99.65,820.5,Existing Customer
810347208,Male,0,No,Yes,46,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,3,Yes,Gold,89.1,1949.4,Existing Customer
818906208,Female,0,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,0,No,Silver,29.75,301.9,Existing Customer
710930508,Female,0,Yes,No,36,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,3,Yes,Blue,104.8,3046.05,Existing Customer
719661558,Male,0,No,Yes,31,Yes,No,DSL,Yes,Yes,No,No,No,No,2,No,Blue,56.15,3487.95,Existing Customer
708790833,Male,0,Yes,Yes,54,Yes,No,DSL,Yes,No,No,No,No,No,3,Yes,Blue,49.95,587.45,Existing Customer
710821833,Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,No,Blue,18.95,326.8,Existing Customer
710599683,Male,0,Yes,No,30,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,3,No,Blue,100.35,5681.1,Existing Customer
816082233,Male,0,No,No,48,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,2,Yes,Blue,103.7,5036.3,Existing Customer
712396908,Male,0,No,No,37,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,2,Yes,Blue,105.5,2686.05,Existing Customer
714885258,Female,0,Yes,Yes,36,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3,No,Blue,113.25,7895.15,Existing Customer
709967358,Female,0,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,No,Blue,20.65,1022.95,Existing Customer
